,tweet
1526,هههه تبي الدوري اجل
1527,ايقالو معه ١٢ هدف هههه بالشباب هل يعقل ينتقل للهلال  عجزت استوعبها
1528,قرار غريب عجيب حتى توقيته ليلة العيد وقرارهم يعترف ان اللاعب استلم مبلغ ٧٥٠٠٠٠٠ ريال هذي لوحدها مخالفه وعقده ساري مع الهلال هذي شكلها عيديه بس هههه صفوا النيه
1529,"النصر العالمي جاب فيهم العيد وبكره العيد هههه

🚨🚨 عاجل ورسميًا |

الإتحاد السعودي يُصدر عدّة قراراة حول قضية محمد كنو و نادي الهلال ونادي النصر ، تأتيكم تباعًا :
- إيقاف اللاعب محمد كنو 4 أشهر
- إيقاف نادي الهلال فترتين تسجيل
- تعويض نادي #النصر ( 27 مليون ) ."
1530,تسلل هههه
1531,عىد الكورة اذا شاف جدته في المطبخ يقول العمر مجرد رقم هههه
1532,"لما كنت بنتسائل عن سوء الأداء 
برغم المكسب الضعيف 
اللى بالعافيه
قعدوا يقولوا لنا 
هذه المبارايات تكسب ولا تلعب 
هههه
سمعنا واحنا مش مقتنعين 
إن ده ممكن يبقى الاهلى 
دلوقتى لا لعب ولا مكسب
!!!!!
رجعوا لنا الاهلى ياولاد 
ستين k......"
1533,"#العربي_السالميه 
سواق الإسعاف زرق مشيوير وكفشه الحكم هههه"
1534,انتو تشوفو اللي جالس يسوي هالاند هل هذا صنيع مهاجم صندوق ؟ هههه
1535,هدف صحيح هههه
1536,"هههه كسر ياابني
ما دام محمد معروف الحكم خلاص عادي"
1537,"#الأهلي_الطائي

بشرونا عن فرقة الرعب هههه"
1538,ما تابعت اي شي اليوم لكن الانتر يخسر هههه و الله المفروض احنى ننافس على الدوري لكن دف الحكم لهم
1539,مش هو الموس بردو اللي قال إنه خلاص اتعلم من الدوري اللي فات ....فعلا رجع لنا شخصية الاهلي و الكرة الجميلة هههه
1540,هههه عارفين سوء الباقي اذا قطعت كويلار يعني بتسجل هدف😂
1541,ليفربول المرعب مب قادر يسجل هدف هههه #ليفربول_فياريال
1542,"قمت الرعب يوم تلعب مع #خوال وانت منفرد وتسمعهم يركضون وراك وفجاه تسمع واحد يقول ""ادريس اقشع دين امو"" 
طيب دقيقه ادريس خذ الكوره مابي العب                  ☹

هههه#هههههههههههههههههخههه"
1543,لا و يحطولك صورة ميليتاو و الابا و روديغير و يقلك دفاع مدريد الموسم القادم هههه
1544,الحارس بدا يفرق الكادوات تاني هههه
1545,هدف مستحق هههه
1546,بدون أن أشعر دخلت قريت مقال على الحكم قاساما ! باش تشوف تأثير المحيط يا صاحبي هههه
1547,"مع احترامي للجميع 
بس جماعه الاهلي عندهم قلة تربيه غريبه تتكلم معه يحساب روحه خدي كاس أفريقيا هههههه 
يا جاهل ليبيا 🇱🇾 ما فيها كورة لعب اطفال سواء انتو او الاتحاد 
انتووووو واين والكوره واين 
نشفوا فيكم لما تلعبوا بري ههههه 😂 عاااااار 
وتوا تتكلم مع حد جابوها هههه 
استغفر الله"
1548,الحكم كون كمل ليهم 120 دقيقة كون عطاهم ضربات الترجيح هههه
1549,"الحكم دخل الاشواط الاضافية في لقاء برشلونة ورايو فاليكانو 
11 دقيقة كاملة وقت اضافي 
هههه"
1550,اتحاد الكوره اختار ايهاب جلال بالحب هههه
1551,هههه دفاع البارسا 🤦‍♂️🤦‍♂️🤦‍♂️ هذا وفاليكانو مل دخلوا فالكاو وجوارديولا ، خسارة قادمة في الكامب نو #برشلونة_فاليكانو
1552,سيناريو الموسم الماضي يعاد مع بيترو ومرة اخرى خصم ممكن فالنهائي هو الاهلي هههه واغير الى مابغيناش اسميتك ...هاد العام ان شاء الله 🏆🤲🏻
1553,"في دوري الفلاحين الفرنسي اكتشفنا ان في فريق اسمه ريال لانس مدريد هههه
زعلانين من هدف ميسي الجميل"
1554,"الحكم تدخل  اخيرا   

هههه المعلق يقول   الدلال قادر ان يعود بطريقة مشروعة او غير مشروعة 🤣🤣🤣🤣🤣"
1555,"كوندي كان رح يصنع لتشلسي الكمال الدفاعي في خطة 343 مع سيلفا و رودي، 

مارينا رفضت تدفع في اللاعب و تعزز من الدفاع الي فيه نقص واضح و وضعت توخيل في ترقيع بين ازبلكويتا و تشالوبه ثم بعدها تخلت عن احسن مدافع بالفريق و توب 5 بالعالم حاليا. 

يقلك تشلسي بدونها ضايع هههه."
1556,هههه تسلل بس احتسب بلنتي
1557,اقسم بالله دفاع مضحك هههه
1558,طب تيشيرتات وفاق سطيف متوفره في مصر ولا هنشحطط جماهير الزمالك زياده هههه
1559,"شفتوا فريق الرجاء
طب شفتوا المدرب بتعهم
الشغلة المناسبة للمدرب ده منجد     أما اللعيبة. هههه حقول ايه عاهات
يلا حظك يا فكرية"
1560,هههه الحكم عامل عبيط
1561,"الصياح الي مسوينه مشجعين ميلان يخليني اجزم انه خارج المنافسة بسبب هذا التفكير و المضحك يصيحون في مباراة كاس و الدوري لازال في متناولهم 
و المضحك اكثر ان جمهور اليوفي يقولون ان الدوري ما يستحقه الانتر هههه
يعني انت تستحق الدوري لما كان ينافسك نابولي ساري او ميلان اليغري"
1562,"مخرج جامد لما حب يجيب ناس لصوص وحراميه جاب برهومه وعيالها وعلم الاهلي ف البيت ،؟؟؟ ترجمه فوريه هههه للساعات !
        (توبه )"
1563,حقين الكوره طلعو يتهاوشون واحد كاتب (لما هذا كتب التغريده وقتها كان ميسي يكسر مدري شنو ) و رد عليه واحد اتوقع ستان ريال مدريد هههه يقول توه لاعبك …
1564,علي معلول لن يلعب مباراة الأهلي والرجاء ورغم ذالك الإعلام المصري الذي أغلبه أهلاوي  طبعا يروجون لجاهزية معلول للمباراة الفاصلة في محاولة للتومويه وخداع مدرب #الرجاء و كأننا سنخاف من معلول هههه معلول بعد تجديده للأهلي لن يعود أبدا لمستواه السابق وأشك اصلا أن يستمر مع الأهلي هههه
1565,ابناء الجالية الكاميرونية بدأت في الضهور تحت غطاء لم نكون لنبيع الوهم للجزائريين. وتهجمنا على المدرب جمال بلماضي لم يكن مقصودا #هههه
1566,هههه اكتفي بهذه الضحكه تعليقاً على هدف التعادل
1567,"عندما تكون مدعوس نتيجة ومستوى .. 
يأتي مدربك بحجة سخيفة .. الحارس لم يعترض!!
ثم يغادر سريعاً هههه
يعرف ان اي صحفي سيسأله وكيف سيعرف الحارس من موقعه أن هناك تسلل. 🤷‍♂️
#InterMilan 
#انتر_ميلان"
1568,هههه عصام الشوالي بيقول أستأذنكم أبن بلدي يسجل هدف في ليفربول.. أول كورة أستلمها أبن بلده أتخطفت منه وصلاح سجل منها الرابع ، وفي ال 7 دقايق اللي لعبهم أبن بلده ضرب أتين لعيبه خد أنذار وكان هيطرد  😂😂
1569,"لعيبة الانتر يطالبون بلمسة يد والحكم حسبها تسلل 
هههه"
1570,عنجد هدف بناصر تسلل  هههه
1571,تسلل هههه
1572,"#الاهلي 

للأسف مشكلة بعض العقليات الاهلاوية تعمل مونتاج لأفضل موسم لأي لاعب اهلاوي ولو قبل ١٠ سنوات ويقولك نبيه يرجع هههه ويكتب  اتمنى عودته او اتمنى التجديد معه او اتمنى التوقيع معه وانه مايغادر النادي 😂

متأكد ان فيه عقليات اهلاويه تبي عبدالغني يعود ويمسك خانة الظهير حالياً"
1573,"الأهلى عايز يدخل الغندور السجن علشان قال إن الكوره مش ضربة جزاء هههه الكوره فى مصر وصلت لمرحلة بنت وسـ#@
#الغندور_المدلس_صانع_الفتن"
1574,الا قولي ياشباب صحيح هو الزمالك هيلاعب مين في إفريقيا هههه #الغندور_المدلس_صانع_الفتن
1575,"#قطاع_التعليم//..
صدور الحكم النهائي بتنفيذ القانون رقم (4) من تاريخ صدوره 2018 ..
وصرف كامل المستحقات الفائتة من بداية صدور القانون لجميع المعلمين والعاملين في قطاع التعليم (بالله شوفوا المحامي  بالك  يزيد الكل مؤسسات  ويدير حل لحفتر  سحره بتاع هههه)"
1576,#مو_فاضين_لكم هههه الحرمان وسنوات العجاف تخليهم يحسسونك ان تحقيق الدوري كأنه تحقيق كأس العالم الله يعينهم
1577,افهم جدا واتفهم أن يعمل مدرب عبقرى من الفسيخ شربات اى ينجح بلاعبين قدراتهم ضعيفة ويظهر ذلك للعيان اما ان يكون مع المدرب شربات مصفى وعسل نحل اول قطفة ويقلبه فسيخ فتلك معجزة تفوق القدرة على التصور هههه عن الموس وعمايله السودة اتحدث
1578,الحكم يلغي هدف مدريد بالنيه هههه #اشبيليه_ريال_مدريد
1579,حيد حمرا ل كامافينغا ماصفرهاش و لكن الحكم خايب هههه
1580,هدف مضحك هههه
1581,هل تعلم ان الفيفا غيرت قانون لعبة كرة القدم بعدم لعب الحارس الكرة باليد في حالة رجوعها من عند لاعب من فريقه بسبب حارس مرمى اسمه احمد الشوبير من مصر بسبب سقوطه بدون سبب اثناء مقابلة ضد بولندا لاضاعة الوقت هههه
1582,كنت العب بلوت ونسيت الحكم وسألت وقالي هاص قلت له طيب وش اسوي لك هههه بعدين نزل سراه قال بالبلوت قلت زرقه هههههه
1583,"حد شاف الدقايق هههه

الله كانت قاتله كورة الثاني

#الاهلي_الرجاء"
1584,هههه على ماتش الحكم توش قاج زريدة والحكم دالوسط كيجر فاللعابة بطريقة الكاتش و الروينة وصافي
1585,هههه عيد يبني الكورة دي نشوف فيها طرد ولا ايه
1586,لماذا لم يسقط أحداد ليخصل على ضربة جزاء صحيحة بعد عرقلة واضحة من ايمن أشرف ؟؟؟ آه تذكرت اللاعبين المغاربة يلعبون بشرف و لا يمثلون على أرضية الملعب مثل أشقاهم المصريين هههه #الرجاء .... #الاهلي_الرجاء
1587,ميدو ف برنامج كلام الناس قال 80مليون بيشجعوا الزمالك ...هههه ليه جماهير الأهلي شفافين أي الضحك دا
1588,شوف ياخي ماني جايب جول مش بس تاب ان ده ضحك من الحارس، شوفت حد قال محظوظ، شوفت حد قال اجوال سهلة هههه، شوفت حد قال سبحة وشعوذة، ياخي انا تعبت من جماهير الكورة
1589,الحكم هههه
1590,استقلول معهم لاعب اسمه جليلو اذا سجل هدف فرحته يلبس بشت هههه يسعد مساكم
1591,"ابو بدر يقول بطولة"" أبطال الدوري "" ودوري أبطال آسيا كلها دوري أبطال آسيا والهلال والاتحاد حققوها 6 مرات وأنا مصدر الحقيقة وصدقوها يعني صدقوها ههه هههه هههه كاد المريب ...."
1592,"فرانكفورت تقصي برشلونة من ربع نهائي الدوري الأوروبي هههه 😂😂😂😂
#برشلونة_فرانكفورت"
1593,"هدف ملغي تسلل هههه 😂😂😂😂 بطولتهم الوحيدة الفوز على الريال الكبير 😂😂😂
فيسكا برااااا برسا 
يا ابو ثلاثة سرى الليل 
#برشلونة_فرانكفورت"
1594,هههه تسلل 😂😂
1595,تسلل هههه
1596,هههه تسلل واضح !
1597,"العام يلعب ضد المريخيات والسنة هذي يبي الدوري الاوروبي ؟

⛷ ه😭⛷ هه😭⛷ ههه😭⛷ هههه😭⛷ ههههه😭 هههههه😭 ههههههه😭 هههههههه😭 ههههههههه😭             🪂 هههههههههه😭 ههههههههههه😭 هههههههههههه😭 ههههههههههههه😭 هههههههههههههه😭 ههههههههههههههه😭 هههههههههههههههه😭"
1598,نداء الى متابيعن الكورة احتاجكم هههه
1599,"زعما 2022 وباقي كاين لي كيتقلق من الشدان ديال الكورة .. والمصيبة الكورة الأوروبية ! 
رخفو النفس الشباب هههه"
1600,مع بداية لعب مباريات الدوري سوف تشوف العجب العجاب من الدفع الرباعي للهلال وتجير لقب الدوري له بالقوه الجبريه لا تقولو حكام اجانب هههه اسهل من ذمتهم مافيه
1601,الحكم اللي جابه النصر على حسابه هههه #من_سلب_نقاط_النصر_امام_الاتحاد
1602,مبروك صدارة الدوري هههه
1603,"كارفخال اصبح قلب دفاع 

سنلعب به ل30د فحالة الذهاب لاوقات اضافية هههه"
1604,هههه ضبطني تحكيم لو حق الريال حسبها هدف
1605,افا كان هدف جميل هههه
1606,هههه ده انتا اخرك في الكوره ذي البنات متعرفش غير انها مدوره ، والله يا بيبي محدش قالك ان كل البنات ذي مامتك
1607,3 ضربات جزاء!!! الحكم فاكرهم ريال مدريد ولا ايه؟؟ هههه
1608,الاصلع الحمار حسب الخطأ على ديبروين !!! هههه عطوهم الدوري خلاص
1609,هههه ركنية اكلها الحكم
1610,هههه تسلل
1611,سترلينغ لو مو تسلل كان ضيعها هههه😂💔
1612,جوتا يسجل هدف ويضيع عشر هههه
1613,صلاح فطر علي هدف خيسوس هههه
1614,"تمت بخير الحمدلله. 
كنت ع القهوة علشان ماتش الريال وجه وقت ماتش المصري والجاهلي، كل اللي قاعدين عايزين ماتش الأهلي. يا جماعة دة متزاع عادي ممكن تشوفوه في البيت لكن الدوري الإسباني والريال!!يعني هو في حد يشجع الزمالك؟ ايه علاقة دة بالموضوع اصلا هههه😂. 
اتمني تكونوا استمتعتوا
🏹🇦🇹"
1615,"#الأهلي_المصرى 
المصري فشخ الاهلي هههه"
1616,لمًا تتخانق مع واحد من الزمالك                       وشك ده ولا اير جوردن هههه
1617,#الهلال_الشارقه تسديده لاعب الهلال تحولت الى ركنيه لصالحه رغم عدم لمسها من لاعب الشارقه 😂😅زي بلنتي الجمعان في الاهلي هههه
1618,جحفلي دفاع اجل هههه
1619,"مشكلة تعريص النسوان لبعض ان واحدة وحشة نيك بتبقى شايفة نفسها حلوة و الرجالة وسخة / بهايم و تبقى عينها على رجالة بره الleague خالص.
يعني واحدة نفس مستوى اسمنت أسيوط تحاول تشقط واحد مستوى النادي الأهلي و تقولك هههه الرجالة معرصة.
مالها كهرباء دمياط"
1620,فرانكفورت وبرشلونه من متى بدوري الابط.. اوه الدوري الاوروبي اليوم هههه
1621,"هههه احنا ابطال كُل حاجه 
متقلقوش هههه متقلقوش كده كده الدوري بتاعنا"
1622,هههه اخيرا. غير هو الحكم قال ليه لعب و مدافع طايح
1623,بس بيراميدز  فرقه  منافسه و احسن من  الاهلي والزمالك  هههه
1624,انا اشجع الحكم هههه #برنامج_فضائي5
1625,الدكتور يقول اختباركم الدوري الثاني عن بعد طيب جزاك الله خير دامك تدلعنا مره وحده عطنا الدرجات كامله هههه ❤️
1626,"هجوم غير مبرر على حسابي من بعض العقليات يوم انتقد فكركم لا يعني انني انتقد ليبرون شخصياً هههه انا انتقد انكم تدعون انكم تحبونه وانتم اللي بالاخير تسببتوا باصابته 
حرفياً اللي قاعد يصير لليبرون الان نفس اللي صار لكوبي اخر عزه يوم جته اصابة بسبب الضغط البدني الهائل"
1627,شو يسوي الحارس هههه
1628,الصدريين ينتقدون الي ادخل قوات الاحتلال واسقاط صدام ولوهؤلاء السياسيين (الجلبي والحكيم وعلاوي واخرون) لماكان الصدرين الان في الحكم هههه هل انتم عوران ام كيف ترون
1629,"عجبنى تصريح المجلس الرئاسى فى السودان
مش حنسلم السلطه الا لحكومه منتخبه!!!
كده الحكم استقر ومفيش انتخابات يبقى البيضه والا البرهن ؤتخدلة بالك انت ياعمونا هههه"
1630,هههه حلت عليهم لعنت حمدالله والله احسن خبر واحسن يوم من ذا حال واردا ان شاءالله عقبال مايخسرون المنافسه ع الدوري ههههههه اعرفو قدركم انتم مكانكم تنافسون ع الهبوط هههههه
1631,الاتحاد لقم والله باقي يخسر الدوري ويرجعون لنقطة الصفر هههه ياحلم وش يضرك لو تحققت
1632,هاه ياتحاديين لاتفرحوا الدوري ليس لكم المباريات حقكم مثل اليوم ياتون بحكم مثل يشوتمكم شوت وانتم امشوا ورا ورا كدا كدا. هههه
1633,حظ الجار ماتقدرون عليه مو الحارس هههه #الاتحاد_الفيحاء
1634,هههه ضحكوني يبغوا ياخذوا الدوري
1635,بسرعه هههه الحكم وااضحه
1636,مسوين مستغربين يعني هههه الحمدلله تسلل بس
1637,"زياد هههه شوفو زياد بعد تجديد العقد 

شوفو العبود 

المهم لايجي هدف ثاني للفيحاء ينهي المباراة"
1638,"ياناس موب عشاني بنوتة
ولا عشاني نسوية أحيانًا هههه
لكن صدق صدق صدق البنوتات غييييييييير 💘💘💘

تخيل الكورة الأرضية بس عيال؟ سوري يعني بس مرة جفاسة ومرة جلافة
لكن البنات؟ وخخخخخ بسسس !!! يكفيك إنهم يحسون بخاطرك إذا حز ، ويتعاطفون معك ويدارون خاطرك وخخخخ بس 🥺"
1639,الحكم خاف من كويلار هههه
1640,دفاع باريس كارثي هههه
1641,"فينسيوس مسوي محمد نور وهو يحظن الكورة
ياعمي قم بس الشباب قاعدين يلبقون فيك من اليوم هههه"
1642,الكورة ف وادى وجوتا ف وادى تانى ورايح يحسبها بلن هههه والله عياطهم ع الحمام  كوميديا
1643,عندنا سماجة مصرية رهيبة الصراحة فعلا من اول ماتشات الكورة و مدحت شلبي و العالم اللي عندها ٦٥ سنة دي لحد رامز جلال ف رمضان و الصريخ اللي ف وقت الفطار بتاع كل سنة ده و هههه حاجة يارب انا مبقتش حمل الروتين السنوي ده
1644,الزمالك بيلعب بالاحتياطي الان في مباراة حسم الدوري بعد اذلال الاهلي و لتقليص الاهلي النتيجة عشان ميبقاش شكلهم وحش هههه 🔥😂
1645,"هههه اداراه مافيها ذرة فكر .
نادي ماله اي هدف بكرة القدم 
لاجمهور ولا رئيس يعرفون مصلحه ناديهم
والنادي من جرف لدحديدره عامتاً  فا لو  صح خبر جيسوس معهم مو لسواد عيونهم  ترا مشان المصاري ، لن ولن ولنننن ينجححححح"
1646,"كل الدوشه اللي عاملينها البيب بيب ضد صلاح بسبب حكايه احسن لاعب في تاريخ مصر … هههه
ابراهيم عبد الصمد طبعا
وده لاعب مهاجم في الاهلي سنوات طوال ولم يحرز هدف واحد لأنه كان منحوس"
1647,"يفسخون عقد #حمدالله و يغرد حساب ناديهم الرسمي بفسخ عقد اللاعب 
ثم يشكون يقولون اللاعب متفق مع الاتحاد !!؟
طيب انت فاسخ عقده يالحبيب شعليك من اللاعب دامك فسخت عقده !؟
هههه والله نادي مضحك ويفشل في نفس الوقت لكن الحمدلله على نعمة العقل 😅.
#الاتحاد
#النصر"
1648,"ههه يمه 
هالسنه كان عندي هدف اني اتكلم مع بنت اني معجبه بشخصيتها وهيك امور
المهم هيه حاليا داتراسلني 
توتر 
هههه
wish me luck 😬😬"
1649,"فالقطة ديال هدف تعادل ديال الجزائر كان المعلق كايكول الله وأكبر الله وأكبر هدف التحرير هدف التحرير هههههه.
معرفتش اشنو غدي احررو ممكتبش ليهم عوتني اهزو العلم الوطني الفلسطيني هههه😅😅😅😂😂😂😂.
المخزن هو سبب الأقصى"
1650,"هدف اول للكاميرون 
مصر متبكيوش رانا لاحقينكم هههه 
#مصر_السنغال 
#الجزائر_الكاميرون"
1651,فيه واحد اسمه حارث كبر وصار هجوم ؟هههه😭💔
1652,يلا هدف من الدوري العراقي هههه
1653,"#الجزاير_الكاميرون
الحكم مزرووب هههه"
1654,جورجينهو مفروض ياخذ الكورة الذهبية هههه وهو السبب في اللي صار لإيطاليا
1655,هههه رونالدو سيسجل هدف3 بعد حسم المبارة و سيحتفل كأنه سجل هدف الفوز في الدقيقة 95 🤣🤣🤣
1656,يا عمري بعض الجماهير السعوديه ميته من هدف صالح الشهري وتنتقده هههه لهدرجه مقهورين عشانه لاعب الهلال😂😂😂😂
1657,"عزتي للشعب السعودي قاعد ينتظر استراليا تتعثر من اليابان هههه

هدف استراليا قادم بعد قليل لامحاله 
مبروووك للأستراليين 👏"
1658,"يالاهوي يا داليا 
المصريه الوحيده 
هيجيلك هجوم دلوقتي هههه
#صباح_البلد_زينب_حسن"
1659,ما زال يستمر بمستواه المتدني للحلقة الخامسة على التوالي ايرين لا يظهر قتال عقيم دك بدون مانشوف الدك هههه فلوك نجم الحلقة #هجوم_العمالقة
1660,مباراة كارثية سببها انشيلوتي ، ناتشو اكبر غلط الاعتماد عليه، المفروض اسينسيو وفاسكيس، بصراحة مباراة للنسيان للريال والبرشا يستاهل الفوز بس بالنهاية الدوري مدريدي هههه #ريال_مدريد_برشلونه
1661,"قال بحكو ما بدهم يشترو ظهير يمين وحيعتمدو على كارفخال هههه.
الفريق لازمو دفاع كامل"
1662,"#ElClassico 
ما ذا يحدث في البرنابيو..؟ ريال محرومة من الكورة، (في الليلة الظلماء...بنزيما زعما ) هههه
هلا مدريد ههههه
#ViscaElBarca ❤️💙"
1663,"والله فشله البرشا مردغ الريال هههه
كفو والله المدرب تشافي عدل الفريق"
1664,الفرق اثنين بس هههه الدوري محسوم لذا خلوا صغار اسبانيا يركضون لاجل المركز الثالث🤣🤣🤣🤣
1665,هههه دفاع شوارع
1666,#شبيبة_الساورة جيبو الاهلي وجيبو الزمالك يتعلمو من الاشبال الفتية هههه كيف تصبح عالمي في فترة وجيزة
1667,#الهلال_يمزق_العاب_النصر اللي تابع المباراه ماله الا يضحك على تصرفات النصراوييين يوم باقي نصف دقيقه وهم خسرانين خلاص المدرب سوى حركة عشان ينطرد ويقولوا من التحكيم ههههه حتى اداري الفريق استغرب هههه
1668,هههه كانو يقولون الاهلي المصري يو فازو والحين نقول لهم خلطناه خلطناه🤣
1669,"هههه اتكينسون الحكم الرابع
مش تقولوا يا جماعة"
1670,"انكشفوا اعداء الاهلي حتى في مباراة الهلال نازلين على الادارة وبعض الاعبين هههه ياسادة الهلال فاز على المتصدر وتطالبون الاهلي بالفوز عليه 
نعم فيه اخطاء وخاصة فتح الملعب من المدرب والدفاع لو ضبطت ممكن نشوف نتيجة غير لكن اش ذنب الادارة ؟"
1671,يقول اتحاد القدم وقح وقالو ايدي مرتعشه وقيل ان الاتحاد اللي يديرونه يسمون الكوره طوله هههه ننتظر اتحاد القدم ماذا سيفعل@saudiFF #كلنا_سامي_القرشي
1672,هههه ماراح اشوف الاهلي شهر
1673,"ليدز تعادل هههه
مباراة مسلية 

بدون هالطرد ما اتوقع كانوا بيسجلون هدف اصلاةط"
1674,هههه نسيت ان المحياني صار مدرب على حساب الاهلي
1675,الله لو الاهلي ينهض نهوض يقلبها عليهم هههه
1676,"دخلوا الشيبان هههه
الموشر والمقهوي 😂

#الهلال_الاهلي"
1677,"#الهلال_الاهلي 
هيثم يناقز تقل جربوع هههه"
1678,عيب عليكم ي الهلالين كفايه ٤ اهداف تري الاهلي فازو علي الطائي كنهم محقق بطوله هههه
1679,اذا تبون لاعب كلمو خالد البلطان يشوف واحد لكم هههه عنده نظره ماشاءالله #الهلال_الاهلي
1680,ربع حظ الأهلي دة يارب وارميني في البحر هههه 😂🤣👌
1681,"تطور هائل لعبدالباسط من الرعونة الى تسجيل الاهداف في مرماه هههه
2 لعبدالباسط 0 للأهلي  #الهلال_الأهلي"
1682,"نتيجة مباراة الاهلي والهلال الليلة ماتهمني كثير.

ان فاز الاهلي اهلا وسهلا. وان خسر لا قدر الله نستلم الاتحاديين طقطقة ومعنا النصراويين.

مبسوط في كل حالاتي هههه"
1683,يعع تعادلو بس حتى ولو والله مايوقفني شي تخيلو افرح بتعادل في الدوري الاوروبي هههه
1684,عايز اخلص قبل ماتش الأهلي هههه أما نكتة بصحيح
1685,سمعو اللي كينتاظر كأس العالم، اقسم بالله لضفرها منتخب المغرب مادام مجاش مزرواوي لي غيكون دفاع قوي مع اشرف حكيمي وزياش لي خطير واحسن لاعب فالمغرب هههه فنضاركم هذاك الحدادي لاعب هههه اوا فرحنا بكرط  انا بعدا تيساع المنتخب من دبا موليتش متحمس ليه نهائيا
1686,هههه هالاند ما يناسب السيتي لازم مهاجم وهمي على زق يا شيخ بس هاته يا خلدون والله ما ينفع كذا ابدا يعني اليوم كان ناك ال٧ مدافعين وسجل هاتريك
1687,هههه مبروكين الحكم حسب بلنتي اخيرًا
1688,تتوقعون  #محمد_صلاح يتابع الدوري السعودي ولا شايف نفسه علينا هههه 🔥❤️✌🏻
1689,مع كل حبي لاتاك .. بس وين المطبلين العابدين الراكعين الساجدين للانمي بعد الرسم المخزي والمضحك والمخجل الي في آخر حلقة :) ؟ وينكم اطللعوا من جحوركم هههه  #هجوم_العمالقة
1690,"ليله رياضيه جميله بالنسبه لي بفوز الاتحاد الثمين الذي اجزم ان الاتحاد بعد هذا الفوز بطلاً للدوري الحمد لله الحمد لله يروح الدوري للاتحاد ولا يروح للزعولين هههه 

لاعب هلالي سابق مغرد يقول هدف #الهلال على الرائد هو مهر الدوري ههههههههه انا وين اروح من هالبشر 😂😂
#الاتحاد_الشباب"
1691,مهاجم اوساسونا ده عنده ٤٠ سنه ولا ايه هههه
1692,الحكم ضدنا هههه
1693,"اجل مب ضربة جزاء هههه اقسم بالله بديت اصدق ان الدوري تمثيل وكل فتره يختارون البطل قبل يبدا
#الاتحاد_الشباب"
1694,هههه من يوم تشوف انك ماتملك مهاجم الا ايغالو تغسل يدك !
1695,ذكرت قوميز في الدوري التركي يوم مسك الكوره بيده هههه #الهلال_الرايد
1696,الحكم هههه
1697,"ياجماعه ضحكوني جمهور الاهلي
اليوم لما فازو عالطائي مع اني كنت
ادعي لهم اشجعهم ابيهم يفوزو عالطائي
ولكن الصدمه لما انتهت المباراه  تفاجأة
قامو يصارخو وينادو  هاتو الهلالي هههه 🤣 
انتم كويس خذيتو نفس من الطائي 😂  
تقولو هاتو الهلالي انتم ماخذيتو درس
من اللي قبلكم ماشي جايينكم👈🚶"
1698,مبروك فوز الزعيم العيناوي مباراة عادية في مشواره نحو الدوري لعب بتكتيك مريح والوحدة هههه شادين حيلهم 😂 ترى اليوم العين مالعب👉🏽😈 #الزعيم_العيناوي
1699,"#الأهلي_الطائي 
مدرب الأهلي اسمه
سيب ولدي هههه"
1700,الحكم هههه
1701,بيترو اتليتكو والهدف الاول اسرع هدف في البطولة الزمالك حصالة رسميا ههههَِـََِِـَِٓـَِ(😂)ـَِـََِـهههه
1702,"#الأهلي_صن_داونز 
الاهلي اتفشخ يارقاله هههه"
1703,بكره بشوف المباراه بس عشان اشوف المدرب بيطلعو ناس ماتحكم عليه الان بعد خمس مباريات اي عند الهبوط هههه
1704,النصر يحتاج فكر شاب جديد متجدد مع الكره ويعرف تفاصيل التفاصيل وليس كل من يملك الشهادات يعني انه الاكفىء ! يناس حسو تكفون والله الكوره تغيرت ! لكن برضو كيف يتجدد فكر النصر لفكر شاب والنصر مهيمن ومسيطر من اصحاب الفكر القديم هههه والله اننا مبتلين بهذا النادي لعل وعسى انه تكفير ذنوب
1705,هههههههه دفع رباعي ههههههههه يبغون يشككون جمهور النصر بدفع التحكيم لمباراتهم مع الاتفاق مع ان قررات الحكم كانت جميعها صحيحة هههه عارفين هدفكم تتسترون على فرقكم من الدفع الرباعي لها . قال دفع ربااااااعي قال 😂😂😂😂😂😂😂😂😂  #الدفع_الرباعي
1706,"لاعبين النصر زعلانين على الحكم بعد المباراة ، ليش ما طرد الدبل رئيس النادي هههه

#النصر_الاتفاق"
1707,"إذا هبط الاتفاق. الحكم هو السبب لان هذا معروف. تبع النصر. قال.
دوري. هههه مسخ ه"
1708,يا ام نيازى ههههه صحى نيازى هههه وقولى له ههههه خروج الزمالك من افريقيا بعد هزيمه مزله من الوداد رايح جاى عادى ههههه
1709,الحكم متي يصفار شكلهم يلعبون اضافيه هههه
1710,هههه ادعس الحكم السعودي الكريه اخخ
1711,يسوقها الحكم ذي طرد!!!!! هههه والله الحكم السعودي مايتطور والله
1712,مافيها تسلل هههه
1713,وفي حدوتة اخرى قالوا ليك الجمهور ت الوداد هو اي عاونها فالذهاب هههه ها هو الاياب و وهزاتوا الزمالك وسط بلادها بالتطبيل ديال المعلق و الضرب ديال شي ولاد الاحبج فالزمالك و راهم معروفين ماعمرهم اطفروه
